0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:15 +0530] "GET /vision/user/css%20files/images/slider/loading.gif HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:15 +0530] "GET /vision/user/images/slider/DSC00792-qpr.jpg HTTP/1.1" 200 118435
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:15 +0530] "GET /vision/user/images/slider/DSC_1164-qpr.jpg HTTP/1.1" 200 138940
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:15 +0530] "GET /vision/user/images/slider/DSC00804-qpr.jpg HTTP/1.1" 200 102177
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:15 +0530] "GET /vision/user/images/slider/DSC02639-qpr.jpg HTTP/1.1" 200 92059
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:15 +0530] "GET /vision/user/images/slider/DSC00834-qpr.jpg HTTP/1.1" 200 67695
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:15 +0530] "GET /vision/user/images/slider/DSC01215-qpr.jpg HTTP/1.1" 200 67726
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:15 +0530] "GET /vision/user/images/slider/DSC02603-qpr.jpg HTTP/1.1" 200 75238
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:15 +0530] "GET /vision/user/images/background/parquet_flooring-1920x1200.jpg HTTP/1.1" 200 455596
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:15 +0530] "GET /vision/user/images/slider/bullet.png HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:15 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:27 +0530] "GET /vision/user/jsp%20files/index/about_us.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:29 +0530] "GET /vision/user/jsp%20files/index/contact_us.jsp HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:32 +0530] "GET /vision/user/jsp%20files/index/information.jsp HTTP/1.1" 200 11734
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:32 +0530] "GET /vision/user/js%20files/scroll.js HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:32 +0530] "GET /vision/user/images/udaipur-city-map.jpg HTTP/1.1" 200 204036
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:47 +0530] "GET /vision/user/jsp%20files/index/features.jsp HTTP/1.1" 200 9126
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:47 +0530] "GET /vision/user/images/reasons/Jagdish-Temple-Udaipur-640x480.jpg HTTP/1.1" 200 83625
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:47 +0530] "GET /vision/user/images/reasons/udaipur2.jpg HTTP/1.1" 200 159128
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:47 +0530] "GET /vision/user/images/reasons/4177219622_9a9aa36759_z.jpg HTTP/1.1" 200 133797
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:47 +0530] "GET /vision/user/images/reasons/udaipur_city_palace2.jpg HTTP/1.1" 200 54693
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:31:47 +0530] "GET /vision/user/images/reasons/ShilpGramGoaday-4-610x330.jpg HTTP/1.1" 200 70651
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:32:07 +0530] "GET /vision/user/jsp%20files/index/login_signup.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:32:07 +0530] "GET /vision/user/js%20files/user_login.js HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:32:07 +0530] "GET /vision/user/images/loginform/name.jpg HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:32:07 +0530] "GET /vision/user/images/loginform/password.png HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:32:20 +0530] "GET /vision/user/jsp%20files/index/index.jsp HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:32:20 +0530] "GET /vision/user/css%20files/images/slider/loading.gif HTTP/1.1" 404 1049
