127.0.0.1 - - [03/Nov/2014:10:55:04 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Nov/2014:10:55:09 +0530] "GET /vision/admin/adminlogin.jsp HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [03/Nov/2014:10:55:09 +0530] "GET /vision/admin/admin_login.js HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [03/Nov/2014:10:56:02 +0530] "GET /vision/admin/adminlogin.jsp HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [03/Nov/2014:10:56:03 +0530] "GET /vision/admin/admin_login.js HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [03/Nov/2014:10:56:05 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [03/Nov/2014:10:59:28 +0530] "POST /vision/AdminLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:10:59:28 +0530] "GET /vision/admin/administrator.jsp HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:01:01 +0530] "GET /vision/ViewUserServlet HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:01:51 +0530] "GET /vision/admin/adminlogin.jsp HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:01:52 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:01:58 +0530] "POST /vision/AdminLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:01:58 +0530] "GET /vision/admin/administrator.jsp HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:02:03 +0530] "GET /vision/admin/adminhotelentry.jsp HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:02:03 +0530] "GET /vision/admin/admin_hotelentry.js HTTP/1.1" 200 2395
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:03:58 +0530] "GET /vision/ViewUserServlet HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:54 +0530] "GET /vision/user/jsp%20files/index/index.jsp HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:54 +0530] "GET /vision/user/js%20files/slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:54 +0530] "GET /vision/user/css%20files/slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:54 +0530] "GET /vision/user/images/slider/DSC02654-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:55 +0530] "GET /vision/user/images/slider/DSC01672-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:55 +0530] "GET /vision/user/images/slider/DSC02647-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:55 +0530] "GET /vision/user/images/slider/DSC00619-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:55 +0530] "GET /vision/user/images/slider/DSC00779-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:55 +0530] "GET /vision/user/images/slider/DSC00792-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:55 +0530] "GET /vision/user/images/slider/DSC00804-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:55 +0530] "GET /vision/user/images/slider/DSC00834-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:55 +0530] "GET /vision/user/images/slider/DSC01215-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:55 +0530] "GET /vision/user/images/slider/DSC02603-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:55 +0530] "GET /vision/user/images/slider/DSC_1164-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:55 +0530] "GET /vision/user/images/slider/DSC02639-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:55 +0530] "GET /vision/user/images/slider/DSC00780-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:55 +0530] "GET /vision/user/css%20files/images/slider/loading.gif HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:55 +0530] "GET /vision/user/images/background/parquet_flooring-1920x1200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:04:56 +0530] "GET /vision/user/images/slider/bullet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/jsp%20files/index/index.jsp HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/css%20files/slider.css HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/js%20files/slider.js HTTP/1.1" 200 15282
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/images/slider/DSC02654-qpr.jpg HTTP/1.1" 200 77814
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/images/slider/DSC02647-qpr.jpg HTTP/1.1" 200 130388
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/images/slider/DSC01672-qpr.jpg HTTP/1.1" 200 198312
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/images/slider/DSC00619-qpr.jpg HTTP/1.1" 200 96450
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/images/slider/DSC00779-qpr.jpg HTTP/1.1" 200 55305
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/images/slider/DSC00780-qpr.jpg HTTP/1.1" 200 82286
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/images/slider/DSC00792-qpr.jpg HTTP/1.1" 200 118435
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/images/slider/DSC00804-qpr.jpg HTTP/1.1" 200 102177
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/images/slider/DSC00834-qpr.jpg HTTP/1.1" 200 67695
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/images/slider/DSC01215-qpr.jpg HTTP/1.1" 200 67726
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/images/slider/DSC02603-qpr.jpg HTTP/1.1" 200 75238
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/images/slider/DSC_1164-qpr.jpg HTTP/1.1" 200 138940
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/images/slider/DSC02639-qpr.jpg HTTP/1.1" 200 92059
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/images/background/parquet_flooring-1920x1200.jpg HTTP/1.1" 200 455596
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:02 +0530] "GET /vision/user/css%20files/images/slider/loading.gif HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:03 +0530] "GET /vision/user/images/slider/bullet.png HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:04 +0530] "GET /vision/user/jsp%20files/index/login_signup.jsp HTTP/1.1" 200 5169
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:04 +0530] "GET /vision/user/js%20files/user_login.js HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:04 +0530] "GET /vision/user/images/loginform/password.png HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:04 +0530] "GET /vision/user/images/loginform/name.jpg HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:08 +0530] "GET /vision/user/jsp%20files/register/register.jsp HTTP/1.1" 200 4037
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:08 +0530] "GET /vision/user/css%20files/user.css HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:05:08 +0530] "GET /vision/user/js%20files/user_register.js HTTP/1.1" 200 7686
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:06:16 +0530] "POST /vision/RegisterServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:06:17 +0530] "GET /vision/user/jsp%20files/error/register_error.jsp HTTP/1.1" 200 4168
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:08:04 +0530] "POST /vision/RegisterServlet HTTP/1.1" 500 4164
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:08:45 +0530] "POST /vision/RegisterServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:08:45 +0530] "GET /vision/user/jsp%20files/error/register_error.jsp HTTP/1.1" 200 4168
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:09:16 +0530] "POST /vision/AdminLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:09:16 +0530] "GET /vision/admin/administrator.jsp HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:09:17 +0530] "GET /vision/ViewUserServlet HTTP/1.1" 200 1722
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:09:31 +0530] "GET /vision/DeleteUserServlet?val=18 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:09:31 +0530] "GET /vision/ViewUserServlet HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:11:08 +0530] "POST /vision/RegisterServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:11:08 +0530] "GET /vision/user/jsp%20files/signup/aftersignup.jsp HTTP/1.1" 200 4300
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:11:20 +0530] "POST /vision/LoginServlet2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:11:21 +0530] "GET /vision/user/jsp%20files/afterlogin/afterlogin_index.jsp HTTP/1.1" 200 7886
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:11:21 +0530] "GET /vision/user/css%20files/grid.css HTTP/1.1" 200 9176
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:11:21 +0530] "GET /vision/user/js%20files/grid.js HTTP/1.1" 200 8491
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:11:21 +0530] "GET /vision/user/images/loginform/user1.png HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:11:21 +0530] "GET /vision/user/images/slider/DSC_1164-qpr.jpg HTTP/1.1" 200 138940
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:11:21 +0530] "GET /vision/user/images/slider/DSC01672-qpr.jpg HTTP/1.1" 200 198312
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:11:21 +0530] "GET /vision/user/images/grid/2.gif HTTP/1.1" 200 163244
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:11:21 +0530] "GET /vision/user/images/grid/4.jpg HTTP/1.1" 200 79822
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:11:21 +0530] "GET /vision/user/images/grid/1.jpg HTTP/1.1" 200 329745
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:11:21 +0530] "GET /vision/user/images/grid/3.jpg HTTP/1.1" 200 112777
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:11:21 +0530] "GET /vision/user/images/grid/6.jpg HTTP/1.1" 200 53068
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:11:21 +0530] "GET /vision/user/images/grid/5.jpg HTTP/1.1" 200 148618
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:12:00 +0530] "GET /vision/ViewUserServlet HTTP/1.1" 200 1724
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:12:12 +0530] "GET /vision/ViewUserServlet HTTP/1.1" 200 1724
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:17:20 +0530] "GET /vision/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:17:20 +0530] "GET /vision/user/jsp%20files/index/index.jsp HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:17:21 +0530] "GET /vision/user/jsp%20files/index/login_signup.jsp HTTP/1.1" 200 5169
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:18:37 +0530] "GET /vision/user/jsp%20files/register/register.jsp HTTP/1.1" 200 4037
0:0:0:0:0:0:0:1 - - [03/Nov/2014:11:21:05 +0530] "POST /vision/LoginServlet HTTP/1.1" 302 -
