0:0:0:0:0:0:0:1 - - [17/May/2015:23:46:22 +0530] "GET /vision/user/images/slider/DSC02603-qpr.jpg HTTP/1.1" 200 75238
0:0:0:0:0:0:0:1 - - [17/May/2015:23:46:22 +0530] "GET /vision/user/images/slider/DSC02639-qpr.jpg HTTP/1.1" 200 92059
0:0:0:0:0:0:0:1 - - [17/May/2015:23:46:22 +0530] "GET /vision/user/images/slider/DSC_1164-qpr.jpg HTTP/1.1" 200 138940
0:0:0:0:0:0:0:1 - - [17/May/2015:23:46:22 +0530] "GET /vision/user/images/background/parquet_flooring-1920x1200.jpg HTTP/1.1" 200 455596
0:0:0:0:0:0:0:1 - - [17/May/2015:23:46:22 +0530] "GET /vision/user/images/slider/bullet.png HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [17/May/2015:23:46:22 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/May/2015:23:46:40 +0530] "GET /vision/user/jsp%20files/index/login_signup.jsp HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [17/May/2015:23:46:41 +0530] "GET /vision/user/js%20files/user_login.js HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [17/May/2015:23:46:41 +0530] "GET /vision/user/images/loginform/name.jpg HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [17/May/2015:23:46:41 +0530] "GET /vision/user/images/loginform/password.png HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:00 +0530] "POST /vision/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:00 +0530] "GET /vision/user/jsp%20files/afterlogin/afterlogin_index.jsp HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:00 +0530] "GET /vision/user/css%20files/grid.css HTTP/1.1" 200 9176
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:00 +0530] "GET /vision/user/js%20files/grid.js HTTP/1.1" 200 8491
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:00 +0530] "GET /vision/user/images/loginform/user1.png HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:00 +0530] "GET /vision/user/images/grid/2.gif HTTP/1.1" 200 163244
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:00 +0530] "GET /vision/user/images/grid/4.jpg HTTP/1.1" 200 79822
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:00 +0530] "GET /vision/user/images/grid/1.jpg HTTP/1.1" 200 329745
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:00 +0530] "GET /vision/user/images/grid/3.jpg HTTP/1.1" 200 112777
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:00 +0530] "GET /vision/user/images/grid/6.jpg HTTP/1.1" 200 53068
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:00 +0530] "GET /vision/user/images/grid/5.jpg HTTP/1.1" 200 148618
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:05 +0530] "GET /vision/user/jsp%20files/hotels/hotels.jsp HTTP/1.1" 200 3102
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:05 +0530] "GET /vision/user/js%20files/hotels.js HTTP/1.1" 200 1962
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:15 +0530] "POST /vision/HotelSelectionServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:16 +0530] "GET /vision/user/jsp%20files/hotels/luxuryhotels.jsp HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:22 +0530] "GET /vision/HotelServlet?h_name=Trident%20Udaipur HTTP/1.1" 200 6628
0:0:0:0:0:0:0:1 - - [17/May/2015:23:47:22 +0530] "GET /vision/admin/show.jsp HTTP/1.1" 200 55734
0:0:0:0:0:0:0:1 - - [17/May/2015:23:48:00 +0530] "GET /vision/HotelServlet?h_name=The%20Oberoi%20Udaivilas HTTP/1.1" 200 6813
0:0:0:0:0:0:0:1 - - [17/May/2015:23:48:01 +0530] "GET /vision/admin/show.jsp HTTP/1.1" 200 168012
